weights,family,representation,protocol,fit,n,p,theta,loglik,sigma2,at_domain_bound,grid_local_maxima,evaluations,columns,beta,training_iso3,levels,latitude_state
station,sem,primary_total_co2,full_sample,all,151,20,0.8324306231870012,353.62969088059646,0.0004785337532844669,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.22468944927626658, 0.01253660397662526, 0.000974167789820492, -1.945077189994463e-06, 3.329379986386678e-05, -0.010826556601724066, -0.0011574220141695511, 0.0027968105075327184, -0.013454617780309638, -0.0015970749987496828, -0.08883792445823449, 0.00701704804278319, -0.02663818238059832, -0.034182889737715556, -0.07414150945763395, -0.0633085859222473, -0.06715237682323794, 0.007898316456757017, 0.001375875407396776, -0.005001782331610069]",DZA|AGO|BEN|BWA|BFA|BDI|CMR|CAF|TCD|COG|COD|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|NER|NGA|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,,
station,sem,primary_total_co2,primary_loco,DZA,140,20,0.833647852371406,326.43321912721524,0.00048661774082377684,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.22401965681896244, 0.013673467275132698, 0.0008773727551960604, -1.4581285049600804e-06, 3.199429393277664e-05, -0.012336036320096711, -0.0010096987149333025, -0.00022761300532806217, -0.01802659852600948, -0.005000465279867769, -0.09277870076683298, 0.009626342683079983, -0.016525624039493404, -0.011787702755334311, -0.05834376634844809, -0.051985712858022844, -0.054217600542716085, 0.008029617321576454, 0.0012113414245593325, -0.005177642499966138]",AGO|BEN|BWA|BFA|BDI|CMR|CAF|COG|COD|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LSO|LBR|MDG|MWI|MOZ|NAM|NGA|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|DEU|GRC|HUN|ISL|IRL|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,AGO,143,20,0.8200036422223961,332.71037922471885,0.0004972774782001217,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.2295534176413667, 0.01232363704398075, 0.0007000044129751908, -2.0456227517733186e-06, 4.253706867798314e-05, -0.010877793963284553, -0.0010699793438915001, 0.004681458500247598, -0.015053266074389442, -0.0010607778459301206, -0.08573878843288159, 0.004359531741377355, -0.026118536518098652, -0.03198026344110608, -0.06761998069304866, -0.05640672704708684, -0.06364321099577455, 0.0015162713107677059, -0.002327419945803119, -0.006263643648171484]",DZA|BEN|BFA|BDI|CMR|CAF|TCD|CIV|DJI|EGY|GNQ|ERI|ETH|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NER|NGA|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|TUN|UGA|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,BEN,143,20,0.8490973608964315,332.142709403639,0.0004949881657991813,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.2451083280731533, 0.013933462098935912, 0.000891397606201662, -1.531021229027501e-06, 3.335592593672203e-05, -0.013011979259353164, -0.0012095203679736992, -0.002243778483156918, -0.015787473314580674, -0.0043036955250039316, -0.09143041851441905, 0.010325795471627952, -0.028752417837161162, -0.038210854688757845, -0.07662127712746221, -0.06838354496065102, -0.07166458518971298, 0.011620954813260613, 0.0015691573006187754, -0.005299742108553774]",DZA|AGO|BWA|BDI|CMR|CAF|TCD|COG|COD|DJI|EGY|GNQ|ERI|ETH|GAB|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MRT|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,BWA,142,20,0.8182685418175383,333.081709030494,0.0004789856909318382,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.24995418120701995, 0.014513880035468663, 0.0007561471686883707, -1.077654964020491e-06, 4.330081989717186e-05, -0.01484726646202166, -0.0009194217956264405, 0.007874830925421114, -0.010906838017941128, 0.0011399959042663703, -0.08557680131665359, 0.0020708503054548827, -0.02938697063093964, -0.033876423150769115, -0.07339831643392009, -0.05982862897051638, -0.0698424360502221, 0.0019096246479658942, 0.0005487483213944781, -0.004230248168594786]",DZA|BEN|BFA|BDI|CMR|CAF|TCD|COG|COD|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LBR|LBY|MDG|MWI|MLI|MRT|MAR|NER|NGA|RWA|SEN|SLE|SOM|SDN|TZA|TGO|TUN|UGA|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,BFA,140,20,0.8333771019072908,324.01116138487515,0.0005080454309350813,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.2534968453017527, 0.015346549182411937, 0.000804868351706035, -1.7074203615501077e-06, 3.248001093396812e-05, -0.01482433720032388, -0.0012244918420974162, -0.0024819988270920416, -0.015368397355471113, -0.0033988844465439602, -0.08965294793478164, 0.010171988030946362, -0.029439030768453008, -0.04002615742899439, -0.0742988841687815, -0.0689728283575962, -0.07063473507595706, 0.016158360830731366, 0.002153760813670848, -0.00499442029764023]",DZA|AGO|BWA|BDI|CMR|CAF|TCD|COG|COD|DJI|EGY|GNQ|ERI|ETH|GAB|GNB|KEN|LSO|LBY|MDG|MWI|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,BDI,144,20,0.8118480770849258,333.9624508992968,0.0005050708926106903,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.22170500451457853, 0.013092814940503291, 0.0008972823901496218, -3.870325553943374e-06, 3.510381699047778e-05, -0.011055511518281854, -0.0011891181317181703, 0.004897681770244154, -0.010125861016985777, 0.0026453522374924243, -0.08350222823958985, 0.002768027100303795, -0.026129283520732894, -0.03424135669946076, -0.0717069888461613, -0.05975842649403872, -0.06276175766400666, 0.012675606547917715, 0.002657544462960696, -0.004702477466529197]",DZA|AGO|BEN|BWA|BFA|CMR|CAF|TCD|COG|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|NER|NGA|SEN|SLE|SOM|ZAF|SDN|SWZ|TGO|TUN|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,CMR,142,20,0.822216963144088,329.90766403550236,0.0004989229036596952,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.2495566683159989, 0.015195589787452194, 0.0008565826814732447, -2.422690894915865e-06, 3.210328502482073e-05, -0.014235107886587066, -0.0012553170412314412, -0.002110099961419708, -0.016300158955659755, -0.004523992257786914, -0.09158334493583256, 0.007658132701239211, -0.028413405060334768, -0.03605607009601668, -0.07496323956401707, -0.06637928255260647, -0.07023059994636068, 0.007784674569103639, 0.002526437045019758, -0.004094155126879888]",DZA|AGO|BEN|BWA|BFA|BDI|CIV|DJI|EGY|ERI|ETH|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,CAF,141,20,0.8183514036885126,327.8590317378864,0.0004982837703479729,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.25146991773007704, 0.015138453501709968, 0.0007045187931665599, -3.6799152415127703e-06, 3.8703582458056184e-05, -0.01386429873643966, -0.001231706367686795, 0.0009192215630997553, -0.013993420915808389, -0.000858153068352219, -0.08654933022173901, 0.006119414591209781, -0.031311384806867085, -0.03702431481805984, -0.07768931987449036, -0.06693666966096189, -0.07291579556694093, 0.008652436255611594, 0.0018669565494864515, -0.004888581705144452]",DZA|AGO|BEN|BWA|BFA|BDI|CIV|DJI|EGY|ERI|ETH|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|NER|RWA|SEN|SLE|SOM|ZAF|SWZ|TZA|TGO|TUN|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
station,sem,primary_total_co2,primary_loco,TCD,140,20,0.808554950198825,325.69942533570014,0.0004985231788767053,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.22970984792652974, 0.014695981356131123, 0.0009386192884636141, -3.2937265219259217e-06, 3.794570913084017e-05, -0.011468817800415204, -0.001195598174010079, 0.0031675284897658153, -0.016320349626865842, -0.002070595421862985, -0.08724582853601646, 0.00861217705036109, -0.04042092928703526, -0.044141407626159646, -0.08209113989710579, -0.07622599407122618, -0.07473005282940824, 0.009632879616429198, 0.003873001849099312, -0.006399513799362895]",AGO|BEN|BWA|BFA|BDI|CIV|DJI|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LSO|LBR|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SWZ|TZA|TGO|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
