weights,family,representation,protocol,fit,n,p,theta,loglik,sigma2,at_domain_bound,grid_local_maxima,evaluations,columns,beta,training_iso3,levels,latitude_state
land,sem,primary_total_co2,full_sample,all,151,20,0.9713383274627726,363.15697030357455,0.0003718235387996677,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.2748199631009273, 0.013527294503266955, 0.0003266433825026869, -2.7533035841362337e-06, 3.025819001090576e-05, -0.01477611179082976, -0.0008367862939417645, -0.0027419515837639034, -0.011093033447202501, -0.006929177838700716, -0.08208654144326667, 0.007266563458540545, -0.03543928810840604, -0.04307255485252005, 0.16281845815127588, -0.0478024982029026, 0.1613364122185145, 0.008029673017154756, 0.0022114374853255906, -0.002083843093669776]",DZA|AGO|BEN|BWA|BFA|BDI|CMR|CAF|TCD|COG|COD|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|NER|NGA|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,,
land,sem,primary_total_co2,primary_loco,DZA,140,20,0.97084936773946,333.2641275095098,0.0003861498454696981,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.25861761408611916, 0.013316569021797337, 0.0004265741401937252, -2.271319904169296e-06, 2.646886268641895e-05, -0.01412865897418131, -0.0007872419720705844, -0.005904321207541092, -0.014635412675181642, -0.010955102009904885, -0.08611143498748877, 0.006137965951156589, -0.023109428604469736, -0.0213872389785845, 0.1873578251535506, -0.032834536599963084, 0.18506969728951225, 0.005717456725595801, 0.001394807205977183, -0.001207347501018065]",AGO|BEN|BWA|BFA|BDI|CMR|CAF|COG|COD|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LSO|LBR|MDG|MWI|MOZ|NAM|NGA|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|DEU|GRC|HUN|ISL|IRL|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,AGO,143,20,0.9703418718622205,343.03215803829585,0.0003774177518990243,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.2694052703697942, 0.013164657012377385, 6.788763513879893e-05, -3.1068626294199294e-06, 4.1085351542515635e-05, -0.014701777213035732, -0.000731081966224429, -0.0020604296475608273, -0.012988562499567705, -0.007182356240304457, -0.0807837000863295, 0.0064705157215157755, -0.03736794074111124, -0.04583887409278, 0.15657548734362897, -0.044664427915269395, 0.1533078616511178, 0.003562093394798697, -0.002418160003738958, -0.0035900457276931623]",DZA|BEN|BFA|BDI|CMR|CAF|TCD|CIV|DJI|EGY|GNQ|ERI|ETH|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NER|NGA|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|TUN|UGA|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,BEN,143,20,0.9739883584253829,343.7141205513914,0.00037448279317006634,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.3061662408597175, 0.01465128082734897, 0.00015758788411185447, -2.5785631811790593e-06, 3.196510495909035e-05, -0.01705831087352956, -0.0008983510438992872, -0.007079610327165077, -0.012194582308520177, -0.009293131367536732, -0.08367546935766178, 0.01074173971350371, -0.0410779667341241, -0.0513777321612165, 0.1655723896543542, -0.05508611562399081, 0.16180958488059535, 0.010418207468761365, 0.0012065405346483224, -0.0023452140746204123]",DZA|AGO|BWA|BDI|CMR|CAF|TCD|COG|COD|DJI|EGY|GNQ|ERI|ETH|GAB|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MRT|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,BWA,142,20,0.9723580917832797,343.4858636827692,0.0003620283534091238,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.29284243510176405, 0.015007485255645025, 0.00013030606855602792, -2.0534061822782735e-06, 4.202927282821921e-05, -0.01746180767159874, -0.0006074300235069411, -0.00046990129361208067, -0.010900138147990459, -0.006386929799811764, -0.0806578136986192, 0.003784623267130529, -0.03795533115737254, -0.04433898448579873, 0.1589359618734377, -0.044862818380914944, 0.15476730183217552, 0.0029013803405922053, -0.00024622587637248015, -0.0018548839655446398]",DZA|BEN|BFA|BDI|CMR|CAF|TCD|COG|COD|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LBR|LBY|MDG|MWI|MLI|MRT|MAR|NER|NGA|RWA|SEN|SLE|SOM|SDN|TZA|TGO|TUN|UGA|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,BFA,140,20,0.9733289945231257,334.8495609352739,0.0003841846177348121,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.32239142428885004, 0.015183963860768913, 5.76385678481464e-05, -2.4752099631085137e-06, 3.1393935426579426e-05, -0.01776036963054261, -0.0008986165459703015, -0.009288306491991938, -0.012670117674994692, -0.009726774903324817, -0.08344507229980226, 0.010960614293197198, -0.044647048347683314, -0.05699526961191526, 0.16098844759943254, -0.05822833243012412, 0.15579786609218935, 0.013955212023003469, 0.0006655710235544645, -0.002637184155506092]",DZA|AGO|BWA|BDI|CMR|CAF|TCD|COG|COD|DJI|EGY|GNQ|ERI|ETH|GAB|GNB|KEN|LSO|LBY|MDG|MWI|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,BDI,144,20,0.9667827377907173,341.7234354597926,0.0003972194134145303,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.25624648263927197, 0.013028245615270911, 0.00029243456532926897, -3.907091281040513e-06, 3.244990353762095e-05, -0.013563293477668626, -0.0008903740155004797, -0.0022621911748148343, -0.010303334521961086, -0.00486293747489622, -0.07977425513317861, 0.005045289214466207, -0.03089626176786571, -0.04248222211019101, 0.15097858239810413, -0.04245077718580686, 0.15086436258732863, 0.010135416319397446, 0.0018110549761438102, -0.0032013342547676884]",DZA|AGO|BEN|BWA|BFA|CMR|CAF|TCD|COG|CIV|DJI|EGY|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|NER|NGA|SEN|SLE|SOM|ZAF|SDN|SWZ|TGO|TUN|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,CMR,142,20,0.9691038871624627,340.39474529967197,0.00037471320968470595,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.30295057168191936, 0.01646237762615232, 0.0003028019454599311, -2.713824651759981e-06, 2.6311843612370166e-05, -0.01897776979478335, -0.000890287588374071, -0.0070159375107388695, -0.014692718128269954, -0.011258379680012556, -0.08727134786307629, 0.006816111556718544, -0.03592467593830184, -0.045464120347801215, 0.16632682700457693, -0.048400550981756385, 0.16109473293532914, 0.007814705818698038, 0.0028352634213034494, 0.000192890211738586]",DZA|AGO|BEN|BWA|BFA|BDI|CIV|DJI|EGY|ERI|ETH|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SDN|SWZ|TZA|TGO|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,CAF,141,20,0.9683427807312529,336.74041321381577,0.00038262325445232614,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.29179319493624845, 0.015298440492087792, 0.00020682954316002695, -3.5752711108457204e-06, 3.0326383975540912e-05, -0.017271347772610624, -0.0009048016952321948, -0.0034511760839814366, -0.011904819076391014, -0.007227013115059235, -0.0827928394663642, 0.006528211594513063, -0.030718704232076392, -0.04138199173300705, 0.16188386736626378, -0.04311805924301611, 0.1575314284413828, 0.007556179971103285, 0.0018237514592704636, -0.0009427691431289318]",DZA|AGO|BEN|BWA|BFA|BDI|CIV|DJI|EGY|ERI|ETH|GHA|GIN|GNB|KEN|LSO|LBR|LBY|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|NER|RWA|SEN|SLE|SOM|ZAF|SWZ|TZA|TGO|TUN|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
land,sem,primary_total_co2,primary_loco,TCD,140,20,0.9666125420197745,331.7610379637183,0.0003988300498023951,False,1,261,intercept|cum_co2_total|abs_latitude|elevation|continentality|population|station_density|climate_zone=B|climate_zone=C|climate_zone=D|climate_zone=E|hemisphere=S|spatial_block=Asia|spatial_block=Europe|spatial_block=North America|spatial_block=Oceania|spatial_block=South America|income_group=Low-income countries|income_group=Lower-middle-income countries|income_group=Upper-middle-income countries,"[0.25783743429793027, 0.014638507668587823, 0.0004321856598712132, -2.5530936617028696e-06, 2.9568751362315832e-05, -0.014480499594983457, -0.0010031520245925602, -0.0052570867544654105, -0.015184477252214416, -0.009906549387541552, -0.08494644257431996, 0.0150578584521452, -0.04406589729382829, -0.05335672909363701, 0.1410377666707472, -0.06279994707216448, 0.13775919852402937, 0.008357796069045069, 0.0030293626331913746, -0.0026495615592748265]",AGO|BEN|BWA|BFA|BDI|CIV|DJI|GNQ|ERI|ETH|GAB|GHA|GIN|GNB|KEN|LSO|LBR|MDG|MWI|MLI|MRT|MAR|MOZ|NAM|RWA|SEN|SLE|SOM|ZAF|SWZ|TZA|TGO|TUN|UGA|ZMB|ZWE|AFG|ARM|AZE|BGD|MMR|KHM|CHN|GEO|IND|IDN|IRN|IRQ|ISR|JPN|JOR|KAZ|LAO|LBN|MYS|MNG|NPL|OMN|PAK|PHL|QAT|SAU|KOR|LKA|SYR|TWN|TJK|THA|TUR|TKM|ARE|UZB|VNM|YEM|ALB|AUT|BLR|BEL|BIH|BGR|HRV|CYP|CZE|DNK|EST|FIN|FRA|DEU|GRC|HUN|ISL|IRL|ITA|LVA|LTU|MKD|MDA|MNE|NLD|NOR|POL|PRT|ROU|RUS|SRB|SVK|SVN|ESP|SWE|CHE|UKR|GBR|BHS|CAN|CRI|CUB|DOM|SLV|GTM|HTI|HND|JAM|MEX|NIC|PAN|USA|AUS|NZL|PNG|ARG|BOL|BRA|CHL|COL|ECU|PRY|PER|SUR|URY|VEN,"{""climate_zone"": [""A"", ""B"", ""C"", ""D"", ""E""], ""hemisphere"": [""N"", ""S""], ""income_group"": [""High-income countries"", ""Low-income countries"", ""Lower-middle-income countries"", ""Upper-middle-income countries""], ""spatial_block"": [""Africa"", ""Asia"", ""Europe"", ""North America"", ""Oceania"", ""South America""]}",
